episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,91.46,
210,0,315,94.03999999999999,
215,0,286,93.85000000000001,
220,0,320,92.5,
225,0,304,92.77999999999999,
230,0,312,93.66,
235,0,307,93.69,
240,0,299,94.89,
245,0,314,92.33000000000001,
250,0,321,92.5,
255,0,302,91.14999999999999,
260,0,309,93.14,
265,0,313,94.41,
270,0,307,93.88,
275,0,313,94.16,
280,0,317,92.17999999999999,
285,0,316,91.71000000000001,
290,0,301,93.17999999999999,
295,0,299,92.71000000000001,
300,0,311,91.56,
305,0,300,92.21,
310,0,319,93.38,
315,0,330,92.58999999999999,
320,0,319,91.94,
325,0,306,94.23,
330,0,313,91.92,
335,0,311,92.88,
340,0,307,92.97,
345,0,315,92.97,
350,0,308,91.81,
355,0,313,91.10000000000001,
360,0,297,93.28999999999999,
365,0,287,92.49,
370,0,316,92.83,
375,0,307,92.86,
380,0,297,92.31,
385,0,284,95.25,
390,0,304,92.89,
395,0,304,94.28,
400,0,295,92.21,
405,0,307,92.5,
410,0,294,92.94000000000001,
415,0,296,93.28999999999999,
420,0,303,95.05000000000001,
425,0,305,91.4,
430,0,300,90.28999999999999,
435,0,291,91.09,
440,0,294,91.16999999999999,
445,0,294,91.92,
450,0,305,93.97,
455,0,293,91.57,
460,0,297,94.64999999999999,
465,0,296,92.71000000000001,
470,0,295,92.31,
475,0,296,92.32,
480,0,276,91.56,
485,0,280,92.03,
490,0,278,91.85,
495,0,275,90.61,
500,0,284,93.05000000000001,
505,0,278,93.17,
510,0,277,91.64,
515,0,283,92.11,
520,0,275,91.96,
525,0,273,93.59,
530,0,286,92.36999999999999,
535,0,267,91.89,
540,0,266,92.44,
545,0,277,92.76,
550,0,275,92.04,
555,0,276,93.03,
560,0,248,92.38,
565,0,259,94.44999999999999,
570,0,261,90.91,
575,0,266,93.01,
580,0,258,92.17,
585,0,255,92.7,
590,0,266,94.53,
595,0,263,91.68,
600,0,247,92.87,
605,0,271,93.2,
610,0,256,92.68,
615,0,255,92.4,
620,0,256,92.95,
625,0,260,93.09,
630,0,256,93.4,
635,0,251,93.34,
640,0,248,92.89,
645,0,239,92.6,
650,0,246,93.08999999999999,
655,0,236,93.38,
660,0,234,91.58999999999999,
665,0,238,92.24000000000001,
670,0,231,92.32000000000001,
675,0,225,93.07000000000001,
680,0,233,93.78,
685,0,221,91.57000000000001,
690,0,243,91.30000000000001,
695,0,247,92.57,
700,0,238,94.32000000000001,
705,0,171,97.07000000000001,
710,0,0,97.07000000000001,
715,0,0,97.07000000000001,
720,0,0,97.07000000000001,
725,0,0,97.07000000000001,
730,0,0,97.07000000000001,
735,0,0,97.07000000000001,
740,0,0,97.07000000000001,
745,0,0,97.07000000000001,
750,0,0,97.07000000000001,
755,0,0,97.07000000000001,
760,0,0,97.07000000000001,
765,0,0,97.07000000000001,
770,0,0,97.07000000000001,
775,0,0,97.07000000000001,
780,0,0,97.07000000000001,
785,0,0,97.07000000000001,
790,0,0,97.07000000000001,
795,0,0,97.07000000000001,
800,0,0,97.07000000000001,
