episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.49,
210,0,313,92.87,
215,0,289,92.14,
220,0,321,92.5,
225,0,305,92.55,
230,0,312,92.75,
235,0,307,93.1,
240,0,300,94.8,
245,0,311,92.16,
250,0,320,91.98,
255,0,303,92.01,
260,0,313,93.69,
265,0,310,92.41,
270,0,311,92.23,
275,0,312,93.71000000000001,
280,0,316,92.91,
285,0,316,92.42999999999999,
290,0,302,92.81,
295,0,305,92.85000000000001,
300,0,312,90.57,
305,0,300,93.09,
310,0,322,93.44,
315,0,334,93.49000000000001,
320,0,318,91.38000000000001,
325,0,308,94.97,
330,0,316,92.22,
335,0,316,92.61,
340,0,301,92.8,
345,0,318,92.32,
350,0,311,93.54,
355,0,313,90.49,
360,0,303,92.87,
365,0,293,93.07000000000001,
370,0,324,93.19,
375,0,306,92.88,
380,0,302,91.9,
385,0,290,93.15,
390,0,301,93.52000000000001,
395,0,314,94.69,
400,0,298,92.62,
405,0,312,92.41,
410,0,300,92.14999999999999,
415,0,305,94.26,
420,0,305,93.72,
425,0,319,90.61,
430,0,307,91.69,
435,0,304,92.16000000000001,
440,0,301,92.89999999999999,
445,0,304,92.92,
450,0,309,92.91000000000001,
455,0,310,92.35,
460,0,317,93.07000000000001,
465,0,307,93.64999999999999,
470,0,305,92.23,
475,0,312,92.47,
480,0,286,92.2,
485,0,291,92.63,
490,0,289,92.03999999999999,
495,0,289,90.88,
500,0,306,93.31,
505,0,287,92.92,
510,0,287,92.78,
515,0,305,93.53,
520,0,292,92.27,
525,0,283,93.14,
530,0,299,91.48,
535,0,293,91.03999999999999,
540,0,280,91.85,
545,0,289,92.44,
550,0,296,92.22,
555,0,283,92.75999999999999,
560,0,275,94.86,
565,0,294,93.57000000000001,
570,0,289,91.82000000000001,
575,0,297,92.7,
580,0,291,92.96,
585,0,278,91.96,
590,0,288,94.18,
595,0,279,92.53,
600,0,273,93.39,
605,0,283,93.31,
610,0,284,93.63000000000001,
615,0,291,92.44,
620,0,285,93.44000000000001,
625,0,287,94.22,
630,0,288,93.56,
635,0,281,92.72,
640,0,272,93.64,
645,0,274,92.64,
650,0,271,92.54,
655,0,259,91.41,
660,0,272,92.11,
665,0,274,94.49,
670,0,254,92.17,
675,0,240,93.17999999999999,
680,0,260,95.22,
685,0,246,90.61,
690,0,263,91.02,
695,0,263,93.44,
700,0,255,94.80000000000001,
705,0,186,95.42,
710,0,0,95.42,
715,0,0,95.42,
720,0,0,95.42,
725,0,0,95.42,
730,0,0,95.42,
735,0,0,95.42,
740,0,0,95.42,
745,0,0,95.42,
750,0,0,95.42,
755,0,0,95.42,
760,0,0,95.42,
765,0,0,95.42,
770,0,0,95.42,
775,0,0,95.42,
780,0,0,95.42,
785,0,0,95.42,
790,0,0,95.42,
795,0,0,95.42,
800,0,0,95.42,
