episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.49,
210,0,313,92.36,
215,0,289,92.98,
220,0,321,91.77,
225,0,306,94.19,
230,0,312,93.94,
235,0,308,92.11,
240,0,299,94.88,
245,0,311,91.44,
250,0,320,93.32,
255,0,303,92.62,
260,0,314,92.67999999999999,
265,0,311,92.35,
270,0,309,92.48,
275,0,311,93.25,
280,0,316,93.24000000000001,
285,0,315,91.57000000000001,
290,0,300,93.18,
295,0,301,93.47000000000001,
300,0,312,91.76,
305,0,301,92.88000000000001,
310,0,323,93.89,
315,0,330,92.71,
320,0,319,91.95,
325,0,306,95.41999999999999,
330,0,312,91.72,
335,0,308,93.30000000000001,
340,0,307,93.03,
345,0,315,93.33,
350,0,305,93.42999999999999,
355,0,310,92.25,
360,0,298,94.16000000000001,
365,0,286,94.11,
370,0,304,92.93,
375,0,298,92.93,
380,0,281,91.78,
385,0,275,95.3,
390,0,278,92.32,
395,0,278,94.56,
400,0,255,93.05000000000001,
405,0,270,93.63,
410,0,239,93.57000000000001,
415,0,263,93.48,
420,0,261,93.32000000000001,
425,0,253,90.02,
430,0,249,90.2,
435,0,233,90.61,
440,0,231,93.86,
445,0,228,93.14,
450,0,248,93.17999999999999,
455,0,239,92.41,
460,0,227,96.53999999999999,
465,0,221,93.26,
470,0,207,91.96,
475,0,189,93.15,
480,0,196,92.73,
485,0,207,92.24000000000001,
490,0,190,92.82000000000001,
495,0,205,91.75999999999999,
500,0,201,93.91000000000001,
505,0,201,92.75,
510,0,188,93.71000000000001,
515,0,200,93.63,
520,0,188,93.5,
525,0,188,92.59,
530,0,188,93.16000000000001,
535,0,187,92.25,
540,0,182,92.56,
545,0,189,93.79,
550,0,184,93.73,
555,0,186,93.49,
560,0,176,94.47,
565,0,178,94.78,
570,0,191,92.43,
575,0,195,93.31,
580,0,182,92.87,
585,0,179,91.92,
590,0,191,93.92,
595,0,174,91.83,
600,0,168,94.16,
605,0,174,93.17,
610,0,180,93.2,
615,0,174,92.34,
620,0,168,93.35,
625,0,186,96.16000000000001,
630,0,184,94.57,
635,0,175,92.89,
640,0,158,93.08,
645,0,158,92.07,
650,0,173,93.69,
655,0,189,93.15,
660,0,169,91.81,
665,0,163,94.22,
670,0,162,93.65,
675,0,163,92.8,
680,0,158,93.97999999999999,
685,0,157,92.32000000000001,
690,0,183,90.45,
695,0,185,92.77,
700,0,156,94.37,
705,0,118,97.66,
710,0,0,97.66,
715,0,0,97.66,
720,0,0,97.66,
725,0,0,97.66,
730,0,0,97.66,
735,0,0,97.66,
740,0,0,97.66,
745,0,0,97.66,
750,0,0,97.66,
755,0,0,97.66,
760,0,0,97.66,
765,0,0,97.66,
770,0,0,97.66,
775,0,0,97.66,
780,0,0,97.66,
785,0,0,97.66,
790,0,0,97.66,
795,0,0,97.66,
800,0,0,97.66,
