episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.1,
210,0,305,93.78,
215,0,317,93.14999999999999,
220,0,304,91.75999999999999,
225,0,317,92.49000000000001,
230,0,315,92.60000000000001,
235,0,310,92.73,
240,0,314,94.71000000000001,
245,0,313,92.94000000000001,
250,0,316,93.68,
255,0,324,93.76,
260,0,315,92.66,
265,0,309,93.3,
270,0,304,91.84,
275,0,315,92.31,
280,0,310,93.47999999999999,
285,0,308,95.03,
290,0,294,93.92,
295,0,302,93.21000000000001,
300,0,307,91.78,
305,0,322,92.61,
310,0,311,92.56,
315,0,294,92.39999999999999,
320,0,308,91.86,
325,0,318,93.08,
330,0,328,93.26,
335,0,307,92.67,
340,0,306,94.13,
345,0,305,93.7,
350,0,318,95.37,
355,0,308,92.77,
360,0,300,94.17999999999999,
365,0,309,93.08,
370,0,316,93.75,
375,0,311,92.66,
380,0,297,93.27,
385,0,315,91.15,
390,0,305,92.16,
395,0,304,93.38000000000001,
400,0,317,93.21,
405,0,300,93.07000000000001,
410,0,299,92.41,
415,0,312,93.89,
420,0,303,92.74000000000001,
425,0,315,92.09,
430,0,311,92.25,
435,0,305,93.35,
440,0,315,92.43,
445,0,306,94.41,
450,0,303,92.0,
455,0,320,91.49,
460,0,290,91.49000000000001,
465,0,295,92.1,
470,0,292,93.55,
475,0,305,93.66,
480,0,297,91.81,
485,0,301,92.63,
490,0,293,92.89,
495,0,301,92.69,
500,0,297,90.72,
505,0,290,94.55000000000001,
510,0,293,94.07,
515,0,307,92.05,
520,0,283,91.14,
525,0,298,94.83,
530,0,298,90.61999999999999,
535,0,281,92.27,
540,0,291,92.33999999999999,
545,0,300,92.67,
550,0,271,93.83,
555,0,283,92.26,
560,0,284,92.57000000000001,
565,0,258,93.69,
570,0,282,94.1,
575,0,286,92.97,
580,0,272,94.07,
585,0,276,92.97,
590,0,260,91.7,
595,0,265,92.35000000000001,
600,0,273,91.01,
605,0,270,91.81,
610,0,257,90.2,
615,0,249,91.06,
620,0,263,92.00999999999999,
625,0,270,93.96000000000001,
630,0,259,90.9,
635,0,245,93.00999999999999,
640,0,252,94.3,
645,0,241,92.72,
650,0,251,92.24000000000001,
655,0,247,94.22,
660,0,235,91.17,
665,0,241,90.39,
670,0,234,92.09,
675,0,223,91.38,
680,0,228,93.58,
685,0,234,92.2,
690,0,221,118.48,
695,0,222,93.94,
700,0,223,92.27000000000001,
705,0,175,93.74,
710,0,0,93.74,
715,0,0,93.74,
720,0,0,93.74,
725,0,0,93.74,
730,0,0,93.74,
735,0,0,93.74,
740,0,0,93.74,
745,0,0,93.74,
750,0,0,93.74,
755,0,0,93.74,
760,0,0,93.74,
765,0,0,93.74,
770,0,0,93.74,
775,0,0,93.74,
780,0,0,93.74,
785,0,0,93.74,
790,0,0,93.74,
795,0,0,93.74,
800,0,0,93.74,
