episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.78,
210,0,304,93.52,
215,0,297,92.16,
220,0,328,92.98,
225,0,316,92.19,
230,0,311,92.63,
235,0,301,91.11999999999999,
240,0,312,92.25999999999999,
245,0,315,93.42,
250,0,313,94.73,
255,0,311,94.75999999999999,
260,0,310,91.58,
265,0,325,93.12,
270,0,292,94.31,
275,0,305,91.51,
280,0,311,92.35,
285,0,318,93.27,
290,0,309,93.19,
295,0,314,93.59,
300,0,305,91.36,
305,0,314,93.19,
310,0,317,95.77999999999999,
315,0,304,93.34,
320,0,311,93.18,
325,0,298,93.91999999999999,
330,0,318,94.48,
335,0,317,93.39,
340,0,307,91.86,
345,0,312,93.42,
350,0,325,93.46,
355,0,307,94.13000000000001,
360,0,321,93.17,
365,0,315,92.27000000000001,
370,0,291,92.67,
375,0,317,90.41,
380,0,302,93.3,
385,0,314,92.81,
390,0,310,92.77000000000001,
395,0,307,91.66,
400,0,294,94.2,
405,0,315,93.03999999999999,
410,0,309,93.19,
415,0,310,93.16,
420,0,316,94.78999999999999,
425,0,305,93.2,
430,0,314,93.32,
435,0,301,93.55,
440,0,312,93.2,
445,0,313,94.11999999999999,
450,0,303,91.58000000000001,
455,0,305,91.55,
460,0,304,93.52000000000001,
465,0,315,94.72999999999999,
470,0,308,93.07,
475,0,305,92.42999999999999,
480,0,320,92.84,
485,0,295,93.92,
490,0,318,92.54,
495,0,303,93.66,
500,0,310,93.81,
505,0,308,94.41,
510,0,321,94.02,
515,0,298,92.68,
520,0,312,92.98,
525,0,315,93.63,
530,0,308,92.93,
535,0,297,95.28,
540,0,319,93.4,
545,0,307,93.61999999999999,
550,0,298,92.02999999999999,
555,0,315,92.59,
560,0,306,92.2,
565,0,308,92.03999999999999,
570,0,315,92.13,
575,0,313,92.35000000000001,
580,0,304,91.94999999999999,
585,0,312,93.67999999999999,
590,0,305,92.42999999999999,
595,0,298,92.4,
600,0,311,93.67999999999999,
605,0,315,92.25,
610,0,307,93.3,
615,0,304,91.38,
620,0,329,91.99000000000001,
625,0,310,93.26,
630,0,312,93.63000000000001,
635,0,305,94.4,
640,0,312,92.69,
645,0,307,94.30000000000001,
650,0,303,92.06,
655,0,326,93.75,
660,0,303,95.06,
665,0,320,93.34,
670,0,311,90.19,
675,0,310,91.71000000000001,
680,0,308,93.53999999999999,
685,0,311,93.12,
690,0,307,91.56,
695,0,298,92.45,
700,0,320,93.97,
705,0,302,93.99,
710,0,0,93.99,
715,0,0,93.99,
720,0,0,93.99,
725,0,0,93.99,
730,0,0,93.99,
735,0,0,93.99,
740,0,0,93.99,
745,0,0,93.99,
750,0,0,93.99,
755,0,0,93.99,
760,0,0,93.99,
765,0,0,93.99,
770,0,0,93.99,
775,0,0,93.99,
780,0,0,93.99,
785,0,0,93.99,
790,0,0,93.99,
795,0,0,93.99,
800,0,0,93.99,
