episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.88,
210,0,305,91.91,
215,0,318,93.14999999999999,
220,0,302,92.64,
225,0,311,93.6,
230,0,314,92.71000000000001,
235,0,309,92.83,
240,0,313,94.48,
245,0,318,91.58999999999999,
250,0,317,93.04,
255,0,323,94.5,
260,0,313,92.55,
265,0,310,94.64,
270,0,308,92.26,
275,0,314,92.08,
280,0,313,92.77,
285,0,306,92.74,
290,0,297,93.02,
295,0,302,92.37,
300,0,309,92.42999999999999,
305,0,320,92.39,
310,0,308,92.99000000000001,
315,0,292,92.06,
320,0,305,91.92999999999999,
325,0,319,92.96,
330,0,329,92.74,
335,0,307,94.72999999999999,
340,0,306,94.17,
345,0,304,94.44999999999999,
350,0,319,93.52,
355,0,310,92.19,
360,0,300,93.29,
365,0,311,93.32,
370,0,318,93.91,
375,0,309,92.58000000000001,
380,0,299,94.5,
385,0,312,93.49,
390,0,306,91.45,
395,0,301,92.14999999999999,
400,0,320,92.32000000000001,
405,0,300,93.25,
410,0,301,93.83999999999999,
415,0,310,93.16,
420,0,309,91.89,
425,0,314,92.38000000000001,
430,0,309,90.92,
435,0,307,91.74,
440,0,322,91.57,
445,0,305,95.15,
450,0,304,92.63,
455,0,321,92.22,
460,0,288,92.36,
465,0,298,91.78,
470,0,296,92.33999999999999,
475,0,307,92.53999999999999,
480,0,302,92.11999999999999,
485,0,300,92.95,
490,0,295,92.35000000000001,
495,0,300,92.73,
500,0,299,92.3,
505,0,289,91.83,
510,0,294,92.66,
515,0,307,92.67999999999999,
520,0,283,91.39999999999999,
525,0,296,92.32000000000001,
530,0,299,93.09,
535,0,285,92.01,
540,0,293,92.91,
545,0,298,92.81,
550,0,272,93.67,
555,0,282,92.41000000000001,
560,0,284,91.46000000000001,
565,0,252,92.93,
570,0,277,92.27,
575,0,283,91.38000000000001,
580,0,261,92.33,
585,0,274,93.83,
590,0,256,91.78,
595,0,270,93.66,
600,0,271,90.54,
605,0,270,91.91,
610,0,263,90.87,
615,0,252,92.39,
620,0,265,92.45,
625,0,274,93.17,
630,0,264,90.52,
635,0,251,93.39,
640,0,259,93.35000000000001,
645,0,252,93.60000000000001,
650,0,264,94.08,
655,0,251,92.56,
660,0,241,92.03,
665,0,244,90.5,
670,0,235,92.25,
675,0,224,91.38,
680,0,229,92.66000000000001,
685,0,236,92.1,
690,0,217,93.25,
695,0,220,93.03,
700,0,217,92.47,
705,0,182,94.33,
710,0,0,94.33,
715,0,0,94.33,
720,0,0,94.33,
725,0,0,94.33,
730,0,0,94.33,
735,0,0,94.33,
740,0,0,94.33,
745,0,0,94.33,
750,0,0,94.33,
755,0,0,94.33,
760,0,0,94.33,
765,0,0,94.33,
770,0,0,94.33,
775,0,0,94.33,
780,0,0,94.33,
785,0,0,94.33,
790,0,0,94.33,
795,0,0,94.33,
800,0,0,94.33,
