episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.49,
210,0,315,92.87,
215,0,289,93.02000000000001,
220,0,322,92.08,
225,0,307,92.94,
230,0,312,93.94,
235,0,308,92.18,
240,0,300,93.67999999999999,
245,0,313,90.94999999999999,
250,0,320,91.98,
255,0,302,91.51,
260,0,313,92.78999999999999,
265,0,309,92.41,
270,0,311,92.25,
275,0,313,93.71000000000001,
280,0,315,93.57000000000001,
285,0,314,92.55000000000001,
290,0,301,93.36,
295,0,309,92.32,
300,0,315,90.97999999999999,
305,0,295,93.16,
310,0,322,93.76,
315,0,335,91.62,
320,0,320,92.76,
325,0,311,96.33,
330,0,317,92.82000000000001,
335,0,317,93.44,
340,0,302,92.86999999999999,
345,0,320,93.33,
350,0,309,91.47,
355,0,315,91.41,
360,0,300,93.7,
365,0,293,93.99,
370,0,319,93.0,
375,0,305,92.36999999999999,
380,0,308,91.5,
385,0,301,95.91,
390,0,303,93.94999999999999,
395,0,320,93.97999999999999,
400,0,307,92.41999999999999,
405,0,315,92.48,
410,0,299,92.72,
415,0,310,93.62,
420,0,313,93.24000000000001,
425,0,314,92.13000000000001,
430,0,313,90.75,
435,0,308,91.32,
440,0,310,93.30999999999999,
445,0,309,92.78,
450,0,308,93.52,
455,0,311,92.28,
460,0,318,93.88000000000001,
465,0,315,93.82,
470,0,305,92.16,
475,0,309,93.1,
480,0,299,93.27,
485,0,295,92.37,
490,0,307,92.27,
495,0,301,90.9,
500,0,320,93.58,
505,0,293,92.69999999999999,
510,0,302,93.64,
515,0,318,93.79,
520,0,306,92.04,
525,0,297,93.35000000000001,
530,0,313,93.24,
535,0,319,93.00999999999999,
540,0,296,91.67999999999999,
545,0,293,92.54,
550,0,321,91.88000000000001,
555,0,303,92.86999999999999,
560,0,301,93.33,
565,0,315,93.8,
570,0,318,92.46,
575,0,308,92.91,
580,0,299,92.71,
585,0,303,93.3,
590,0,306,92.97,
595,0,292,92.42999999999999,
600,0,300,93.54,
605,0,303,93.62,
610,0,302,93.94,
615,0,309,92.84,
620,0,318,93.77,
625,0,313,92.03999999999999,
630,0,309,94.66000000000001,
635,0,310,93.11,
640,0,300,94.27,
645,0,308,92.14,
650,0,308,91.78,
655,0,300,91.36,
660,0,310,92.07000000000001,
665,0,296,93.14999999999999,
670,0,296,93.28,
675,0,304,92.81,
680,0,303,93.32000000000001,
685,0,296,90.91,
690,0,300,92.57,
695,0,304,92.42999999999999,
700,0,302,93.63000000000001,
705,0,256,95.52,
710,0,0,95.52,
715,0,0,95.52,
720,0,0,95.52,
725,0,0,95.52,
730,0,0,95.52,
735,0,0,95.52,
740,0,0,95.52,
745,0,0,95.52,
750,0,0,95.52,
755,0,0,95.52,
760,0,0,95.52,
765,0,0,95.52,
770,0,0,95.52,
775,0,0,95.52,
780,0,0,95.52,
785,0,0,95.52,
790,0,0,95.52,
795,0,0,95.52,
800,0,0,95.52,
