iteration,agent_id,loss,reward,ema_reward,entropy
1,fleet_shared,-0.013862366788089275,-4.860587761674718,-4.860587761674718,1.3862366676330566
2,fleet_shared,60.98458480834961,-4.7487117552334945,-4.8549939613526565,1.3862740993499756
3,fleet_shared,-1.8791615962982178,-4.8584138486312405,-4.855164955716585,1.3862677812576294
4,fleet_shared,-4.663355827331543,-4.8636876006441225,-4.855591087962962,1.3862658739089966
5,fleet_shared,40.5181770324707,-4.781239935587762,-4.851873530344202,1.3862477540969849
6,fleet_shared,27.53130531311035,-4.8013687600644115,-4.8493482918302115,1.3862621784210205
7,fleet_shared,-11.298989295959473,-4.8700483091787445,-4.850383292697638,1.3862454891204834
8,fleet_shared,4.1451945304870605,-4.842753623188406,-4.850001809222175,1.3862512111663818
9,fleet_shared,13.907000541687012,-4.824476650563607,-4.848725551289247,1.38624906539917
10,fleet_shared,19.73385238647461,-4.8124798711755234,-4.84691326728356,1.3862388134002686
11,fleet_shared,37.283302307128906,-4.778502415458938,-4.84349272469233,1.3862344026565552
12,fleet_shared,-9.21370792388916,-4.860346215780998,-4.844335399246763,1.3862098455429077
13,fleet_shared,-2.3782901763916016,-4.848671497584541,-4.8445522041636515,1.3861949443817139
14,fleet_shared,-6.057577133178711,-4.855636070853463,-4.845106397498142,1.3861992359161377
15,fleet_shared,9.278891563415527,-4.828059581320451,-4.844254056689258,1.3861660957336426
16,fleet_shared,16.059900283813477,-4.814774557165862,-4.842780081713088,1.3861799240112305
17,fleet_shared,6.760574817657471,-4.830354267310789,-4.842158790992973,1.3861708641052246
18,fleet_shared,-23.805124282836914,-4.885748792270532,-4.844338291056851,1.3861554861068726
19,fleet_shared,8.841606140136719,-4.828099838969403,-4.843526368452479,1.386143684387207
20,fleet_shared,8.69129467010498,-4.827576489533011,-4.842728874506506,1.386094570159912
21,fleet_shared,48.163272857666016,-4.75426731078905,-4.838305796320633,1.38608717918396
22,fleet_shared,0.3926737308502197,-4.837560386473431,-4.838268525828272,1.3861032724380493
23,fleet_shared,-17.20035171508789,-4.869766505636071,-4.839843424818661,1.3860385417938232
24,fleet_shared,-10.056708335876465,-4.858252818035426,-4.840763894479499,1.38606595993042
25,fleet_shared,-13.940906524658203,-4.8663043478260875,-4.842040917146828,1.3860373497009277
26,fleet_shared,-41.91152572631836,-4.918760064412239,-4.845876874510098,1.3860200643539429
27,fleet_shared,-16.842092514038086,-4.876731078904992,-4.847419584729843,1.385954737663269
28,fleet_shared,10.688556671142578,-4.8277777777777775,-4.84643749438224,1.3859055042266846
29,fleet_shared,-141.92544555664062,-5.107528180354267,-4.859492028680841,1.3858141899108887
30,fleet_shared,37.04349899291992,-4.791465378421901,-4.856090696167894,1.3857307434082031
31,fleet_shared,37.84535598754883,-4.786553945249598,-4.85261385862198,1.3859055042266846
32,fleet_shared,-22.52924919128418,-4.893880837359099,-4.854677207558836,1.3859152793884277
33,fleet_shared,22.358978271484375,-4.8136070853462165,-4.852623701448205,1.3857707977294922
34,fleet_shared,17.822473526000977,-4.8199275362318845,-4.850988893187389,1.385865569114685
35,fleet_shared,56.86840057373047,-4.746457326892109,-4.845762314872625,1.385906457901001
36,fleet_shared,4.893299579620361,-4.836755233494364,-4.845311960803712,1.3857159614562988
37,fleet_shared,35.215423583984375,-4.780676328502415,-4.842080179188646,1.3858083486557007
38,fleet_shared,-3.8928115367889404,-4.849194847020934,-4.84243591258026,1.3858956098556519
39,fleet_shared,-5.218608379364014,-4.851972624798711,-4.842912748191183,1.385601282119751
40,fleet_shared,14.520816802978516,-4.816264090177134,-4.84158031529048,1.3857420682907104
41,fleet_shared,-13.761576652526855,-4.8667874396135264,-4.842840671506632,1.3859020471572876
42,fleet_shared,3.061856746673584,-4.83719806763285,-4.842558541312942,1.385730266571045
43,fleet_shared,28.412389755249023,-4.7903784219001615,-4.839949535342303,1.385635256767273
44,fleet_shared,12.645136833190918,-4.816747181964573,-4.838789417673416,1.3858709335327148
45,fleet_shared,6.443918228149414,-4.826932367149758,-4.838196565147233,1.385843276977539
46,fleet_shared,26.672607421875,-4.789210950080516,-4.8357472843938965,1.3858493566513062
47,fleet_shared,30.629919052124023,-4.779468599033816,-4.832933350125892,1.3858139514923096
48,fleet_shared,-23.145668029785156,-4.875322061191627,-4.835052785679179,1.3858133554458618
49,fleet_shared,-13.109081268310547,-4.859098228663446,-4.836255057828392,1.3855509757995605
50,fleet_shared,-6.85335111618042,-4.8487922705314,-4.8368819184635425,1.3854926824569702
51,fleet_shared,20.164161682128906,-4.7998389694041865,-4.835029771010575,1.3857756853103638
52,fleet_shared,13.750585556030273,-4.809782608695652,-4.8337674128948285,1.3857591152191162
53,fleet_shared,9.986706733703613,-4.815378421900161,-4.832847963345095,1.385694980621338
54,fleet_shared,22.430782318115234,-4.791626409017714,-4.830786885628726,1.3856935501098633
55,fleet_shared,-12.998708724975586,-4.854629629629629,-4.8319790228287705,1.385558843612671
56,fleet_shared,0.1913786381483078,-4.831602254428342,-4.831960184408748,1.385640025138855
57,fleet_shared,0.8618301749229431,-4.830354267310789,-4.83187988855385,1.385555386543274
58,fleet_shared,19.917526245117188,-4.795289855072465,-4.83005038687978,1.38558828830719
59,fleet_shared,15.408050537109375,-4.801650563607085,-4.828630395716145,1.385633945465088
60,fleet_shared,14.356712341308594,-4.802254428341385,-4.827311597347406,1.3855196237564087
61,fleet_shared,-19.215322494506836,-4.8625603864734295,-4.829074036803707,1.3855866193771362
62,fleet_shared,0.07839133590459824,-4.828904991948471,-4.8290655845609445,1.385229229927063
63,fleet_shared,8.238197326660156,-4.813929146537842,-4.8283087626597885,1.3855431079864502
64,fleet_shared,-20.1857852935791,-4.865338164251209,-4.83016023273936,1.3853776454925537
65,fleet_shared,9.809258460998535,-4.812117552334945,-4.829258098719139,1.3855259418487549
66,fleet_shared,20.40045738220215,-4.791666666666667,-4.827378527116514,1.3850512504577637
67,fleet_shared,67.322265625,-4.703502415458938,-4.821184721533635,1.3849281072616577
68,fleet_shared,-22.48179054260254,-4.86231884057971,-4.823241427485939,1.38523268699646
69,fleet_shared,1.2871575355529785,-4.82085346215781,-4.823122029219533,1.385182499885559
70,fleet_shared,-40.2762451171875,-4.896940418679549,-4.826812948692534,1.3851875066757202
71,fleet_shared,5.0393500328063965,-4.817552334943639,-4.826349918005088,1.3851659297943115
72,fleet_shared,18.044326782226562,-4.793236714975845,-4.824694257853626,1.3848081827163696
73,fleet_shared,1.1141037940979004,-4.822624798711755,-4.824590784896532,1.3849754333496094
74,fleet_shared,-3.3497579097747803,-4.830716586151369,-4.8248970749592734,1.3849456310272217
75,fleet_shared,26.320722579956055,-4.776489533011273,-4.822476697861873,1.385058879852295
76,fleet_shared,9.944572448730469,-4.804227053140097,-4.821564215625783,1.3848851919174194
77,fleet_shared,5.708461761474609,-4.811070853462157,-4.821039547517602,1.3847888708114624
78,fleet_shared,11.47622013092041,-4.799919484702094,-4.819983544376826,1.384796142578125
79,fleet_shared,17.109350204467773,-4.788566827697262,-4.818412708542847,1.3847218751907349
80,fleet_shared,-6.591697692871094,-4.830475040257649,-4.819015825128586,1.384800910949707
81,fleet_shared,-13.557350158691406,-4.843840579710145,-4.820257062857664,1.3846813440322876
82,fleet_shared,31.57038116455078,-4.762198067632851,-4.817354113096424,1.384685754776001
83,fleet_shared,-20.640832901000977,-4.8551932367149755,-4.819246069277351,1.3848161697387695
84,fleet_shared,0.972660481929779,-4.81743156199678,-4.819155343913322,1.3847323656082153
85,fleet_shared,-25.59462547302246,-4.866022544283415,-4.821498703931827,1.3844449520111084
86,fleet_shared,33.612632751464844,-4.759581320450886,-4.818402834757779,1.3845947980880737
87,fleet_shared,8.771688461303711,-4.802294685990338,-4.8175974273194075,1.38426673412323
