iteration,agent_id,loss,reward,ema_reward,entropy
1,fleet_shared,-0.013862168416380882,-4.866022544283414,-4.866022544283414,1.3862168788909912
2,fleet_shared,27.749664306640625,-4.815096618357488,-4.863476247987117,1.3862521648406982
3,fleet_shared,-20.802671432495117,-4.901610305958132,-4.865382950885667,1.3862584829330444
4,fleet_shared,28.13785743713379,-4.813768115942029,-4.8628022091384855,1.3862568140029907
5,fleet_shared,8.654540061950684,-4.846900161030596,-4.86200710673309,1.386259913444519
6,fleet_shared,16.065975189208984,-4.8325281803542675,-4.860533160414149,1.3862624168395996
7,fleet_shared,13.71960163116455,-4.835346215780998,-4.859273813182491,1.3862481117248535
8,fleet_shared,0.9380306601524353,-4.857528180354267,-4.859186531541079,1.386260986328125
9,fleet_shared,-38.03268051147461,-4.928945249597423,-4.862674467443896,1.3862578868865967
10,fleet_shared,2.439178705215454,-4.85817230273752,-4.862449359208577,1.3862614631652832
11,fleet_shared,21.8936767578125,-4.822262479871176,-4.860440015241707,1.3862603902816772
12,fleet_shared,-22.026704788208008,-4.900845410628019,-4.862460285011022,1.386210560798645
13,fleet_shared,-15.903518676757812,-4.89158615136876,-4.863916578328909,1.3862632513046265
14,fleet_shared,19.118057250976562,-4.8288244766505635,-4.862161973244992,1.3862624168395996
15,fleet_shared,-8.487807273864746,-4.87769726247987,-4.8629387377067355,1.3862502574920654
16,fleet_shared,10.8366117477417,-4.843035426731079,-4.861943572157953,1.3862617015838623
17,fleet_shared,-36.58631896972656,-4.92902576489533,-4.8652976817948215,1.386263370513916
18,fleet_shared,44.894439697265625,-4.7829307568438,-4.861179335547271,1.3862639665603638
19,fleet_shared,-0.6569238305091858,-4.862359098228664,-4.861238323681341,1.3862630128860474
20,fleet_shared,-9.514914512634277,-4.87866344605475,-4.862109579800011,1.3862621784210205
21,fleet_shared,-2.2135887145996094,-4.866143317230274,-4.862311266671524,1.3862559795379639
22,fleet_shared,-6.0126214027404785,-4.873309178743961,-4.862861162275145,1.386259913444519
23,fleet_shared,2.015456438064575,-4.8591384863124,-4.862675028477008,1.38625967502594
24,fleet_shared,-12.029146194458008,-4.884702093397746,-4.863776381723045,1.3862597942352295
25,fleet_shared,3.105886220932007,-4.85805152979066,-4.863490139126426,1.3862568140029907
26,fleet_shared,-4.532256603240967,-4.871779388083736,-4.8639046015742915,1.3862533569335938
27,fleet_shared,20.31617546081543,-4.826610305958132,-4.862039886793484,1.3862508535385132
28,fleet_shared,-4.4677958488464355,-4.870209339774557,-4.862448359442538,1.386246681213379
29,fleet_shared,-57.60425567626953,-4.967954911433173,-4.867723687042069,1.3862184286117554
30,fleet_shared,-6.9666361808776855,-4.880475040257649,-4.868361254702848,1.386240839958191
31,fleet_shared,-13.842053413391113,-4.893719806763285,-4.86962918230587,1.3862313032150269
32,fleet_shared,-4.897007942199707,-4.878582930756844,-4.870076869728418,1.386218786239624
33,fleet_shared,-4.06077241897583,-4.877495974235105,-4.870447824953753,1.3861867189407349
34,fleet_shared,-7.299238681793213,-4.883816425120773,-4.871116254962104,1.386170506477356
35,fleet_shared,15.710223197937012,-4.842270531400966,-4.869673968784047,1.3861820697784424
36,fleet_shared,32.665828704833984,-4.809782608695652,-4.866679400779627,1.3861744403839111
37,fleet_shared,16.33697509765625,-4.83671497584541,-4.865181179532916,1.3861744403839111
38,fleet_shared,2.0095183849334717,-4.86147342995169,-4.864995792053855,1.3861782550811768
39,fleet_shared,6.166512966156006,-4.85366344605475,-4.8644291747539,1.3861808776855469
40,fleet_shared,5.787732124328613,-4.853784219001611,-4.8638969269662855,1.3861680030822754
