episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.78,
210,0,305,92.60000000000001,
215,0,299,93.01,
220,0,326,91.81,
225,0,314,93.13,
230,0,312,91.28,
235,0,304,90.94,
240,0,312,93.05,
245,0,314,93.45,
250,0,314,94.49,
255,0,313,94.66,
260,0,308,91.5,
265,0,325,93.75999999999999,
270,0,291,95.57,
275,0,301,92.11,
280,0,310,92.61999999999999,
285,0,317,93.69,
290,0,305,94.06,
295,0,309,92.98,
300,0,305,91.61,
305,0,315,92.53999999999999,
310,0,308,95.06,
315,0,301,92.92,
320,0,309,92.1,
325,0,300,94.62,
330,0,320,94.8,
335,0,321,92.19,
340,0,308,91.8,
345,0,307,93.4,
350,0,325,93.61,
355,0,310,93.03,
360,0,321,93.09,
365,0,318,92.83,
370,0,286,92.84,
375,0,308,91.47999999999999,
380,0,299,92.17,
385,0,304,93.0,
390,0,304,92.18,
395,0,296,91.06,
400,0,284,92.97999999999999,
405,0,299,93.24,
410,0,302,92.97999999999999,
415,0,291,93.66,
420,0,308,93.04,
425,0,281,91.94,
430,0,285,91.61,
435,0,279,93.32,
440,0,267,92.33,
445,0,274,93.19,
450,0,266,92.04,
455,0,263,90.41,
460,0,257,93.99000000000001,
465,0,276,92.77000000000001,
470,0,273,93.46000000000001,
475,0,264,92.49,
480,0,275,91.6,
485,0,245,93.27000000000001,
490,0,263,93.3,
495,0,257,92.61,
500,0,248,94.68,
505,0,265,94.14,
510,0,240,92.4,
515,0,243,91.72,
520,0,251,93.94000000000001,
525,0,257,93.32000000000001,
530,0,249,92.2,
535,0,238,94.1,
540,0,240,94.31,
545,0,244,92.18,
550,0,253,92.03,
555,0,248,91.98,
560,0,249,93.32000000000001,
565,0,230,92.13,
570,0,242,90.86,
575,0,251,93.23,
580,0,232,93.12,
585,0,247,91.77,
590,0,247,92.15,
595,0,239,92.77,
600,0,230,92.48,
605,0,227,92.49,
610,0,228,93.95,
615,0,204,93.52000000000001,
620,0,236,91.78999999999999,
625,0,223,94.04,
630,0,228,93.02,
635,0,212,93.0,
640,0,211,93.19,
645,0,202,95.59,
650,0,205,92.84,
655,0,197,91.13,
660,0,198,95.8,
665,0,221,92.5,
670,0,199,91.39,
675,0,198,91.88,
680,0,185,90.48,
685,0,182,90.95,
690,0,181,93.27000000000001,
695,0,176,91.94,
700,0,194,93.22,
705,0,160,94.62,
710,0,0,94.62,
715,0,0,94.62,
720,0,0,94.62,
725,0,0,94.62,
730,0,0,94.62,
735,0,0,94.62,
740,0,0,94.62,
745,0,0,94.62,
750,0,0,94.62,
755,0,0,94.62,
760,0,0,94.62,
765,0,0,94.62,
770,0,0,94.62,
775,0,0,94.62,
780,0,0,94.62,
785,0,0,94.62,
790,0,0,94.62,
795,0,0,94.62,
800,0,0,94.62,
