episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.78,
210,0,305,92.60000000000001,
215,0,298,92.0,
220,0,327,91.81,
225,0,315,92.19,
230,0,311,91.28999999999999,
235,0,302,91.15,
240,0,312,92.68,
245,0,314,92.21000000000001,
250,0,313,94.5,
255,0,313,94.89999999999999,
260,0,307,92.54,
265,0,327,93.92,
270,0,294,94.9,
275,0,301,92.14,
280,0,308,93.43,
285,0,319,93.7,
290,0,309,92.7,
295,0,311,92.99,
300,0,303,91.65,
305,0,314,92.21000000000001,
310,0,312,94.55,
315,0,301,92.66000000000001,
320,0,309,93.82000000000001,
325,0,301,94.72,
330,0,321,94.77,
335,0,317,93.13,
340,0,305,92.75,
345,0,310,92.66,
350,0,324,93.25999999999999,
355,0,310,93.78999999999999,
360,0,323,92.8,
365,0,317,92.36,
370,0,292,92.9,
375,0,316,90.72999999999999,
380,0,299,93.57000000000001,
385,0,312,92.61,
390,0,306,92.12,
395,0,306,91.52,
400,0,291,92.54,
405,0,312,91.96,
410,0,313,92.56,
415,0,307,92.55,
420,0,322,92.53999999999999,
425,0,301,92.39999999999999,
430,0,311,92.72,
435,0,301,92.74,
440,0,313,92.82,
445,0,316,93.28999999999999,
450,0,309,93.66,
455,0,295,90.39,
460,0,296,95.21,
465,0,305,94.28,
470,0,297,92.47999999999999,
475,0,299,92.49,
480,0,321,92.93,
485,0,299,93.69000000000001,
490,0,314,93.56,
495,0,295,95.39,
500,0,301,92.06,
505,0,310,93.46,
510,0,308,94.56,
515,0,294,94.36,
520,0,309,92.74,
525,0,311,94.08,
530,0,300,91.73,
535,0,287,92.41000000000001,
540,0,308,94.45,
545,0,285,91.02,
550,0,304,91.17999999999999,
555,0,308,92.88000000000001,
560,0,301,92.78,
565,0,310,93.0,
570,0,311,93.14,
575,0,303,93.06,
580,0,297,91.84,
585,0,302,92.11,
590,0,298,93.08,
595,0,297,92.29,
600,0,300,93.31,
605,0,303,93.10000000000001,
610,0,306,93.09,
615,0,307,91.22,
620,0,311,91.78999999999999,
625,0,312,92.88999999999999,
630,0,311,92.72000000000001,
635,0,297,93.88000000000001,
640,0,301,91.09,
645,0,297,93.49,
650,0,294,93.59,
655,0,312,92.78,
660,0,299,94.17,
665,0,302,93.84,
670,0,289,92.28,
675,0,294,91.07,
680,0,287,94.26,
685,0,295,93.29,
690,0,299,93.25999999999999,
695,0,286,91.32,
700,0,310,92.27999999999999,
705,0,269,95.03,
710,0,0,95.03,
715,0,0,95.03,
720,0,0,95.03,
725,0,0,95.03,
730,0,0,95.03,
735,0,0,95.03,
740,0,0,95.03,
745,0,0,95.03,
750,0,0,95.03,
755,0,0,95.03,
760,0,0,95.03,
765,0,0,95.03,
770,0,0,95.03,
775,0,0,95.03,
780,0,0,95.03,
785,0,0,95.03,
790,0,0,95.03,
795,0,0,95.03,
800,0,0,95.03,
