episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.88,
210,0,304,93.42,
215,0,318,93.14999999999999,
220,0,302,94.21,
225,0,313,94.64,
230,0,315,93.56,
235,0,308,93.25,
240,0,319,94.57000000000001,
245,0,313,91.89,
250,0,321,92.44,
255,0,322,92.08,
260,0,310,92.63,
265,0,301,93.42,
270,0,300,92.21,
275,0,310,92.35000000000001,
280,0,307,92.14,
285,0,304,94.14999999999999,
290,0,289,92.42999999999999,
295,0,297,92.72,
300,0,304,94.02000000000001,
305,0,315,91.77,
310,0,301,91.38,
315,0,288,91.9,
320,0,306,92.34,
325,0,318,92.89999999999999,
330,0,330,92.88,
335,0,303,96.72,
340,0,304,97.03999999999999,
345,0,292,95.52,
350,0,303,91.43,
355,0,297,94.62,
360,0,287,93.23,
365,0,289,93.02,
370,0,285,93.21,
375,0,283,93.36,
380,0,272,94.03,
385,0,260,91.16,
390,0,245,92.78999999999999,
395,0,231,92.63,
400,0,247,93.39,
405,0,220,92.1,
410,0,221,91.75,
415,0,243,92.03,
420,0,232,91.87,
425,0,225,91.5,
430,0,223,91.39,
435,0,228,92.5,
440,0,229,91.78,
445,0,227,92.57,
450,0,214,91.56,
455,0,231,92.48,
460,0,214,93.67999999999999,
465,0,205,93.39,
470,0,201,92.28999999999999,
475,0,221,92.97,
480,0,216,91.32000000000001,
485,0,190,92.65,
490,0,186,92.55999999999999,
495,0,186,91.41,
500,0,174,91.64,
505,0,165,92.06,
510,0,158,92.97,
515,0,163,93.31,
520,0,162,93.61,
525,0,149,92.81,
530,0,162,92.52,
535,0,170,94.11,
540,0,177,93.03,
545,0,172,92.77,
550,0,150,92.21000000000001,
555,0,168,91.02,
560,0,172,92.21,
565,0,166,91.78,
570,0,162,92.94,
575,0,164,93.46000000000001,
580,0,171,91.59,
585,0,182,91.78999999999999,
590,0,147,92.11,
595,0,144,94.08000000000001,
600,0,167,92.75,
605,0,157,93.14,
610,0,151,93.67,
615,0,154,91.55,
620,0,160,92.78999999999999,
625,0,169,94.0,
630,0,165,91.78,
635,0,157,91.21,
640,0,161,92.80000000000001,
645,0,156,91.21000000000001,
650,0,166,93.49,
655,0,162,91.67,
660,0,158,92.58,
665,0,157,91.13,
670,0,157,92.42,
675,0,161,91.86,
680,0,150,92.87,
685,0,148,92.41,
690,0,135,92.53,
695,0,145,92.28,
700,0,148,92.48,
705,0,109,93.39,
710,0,0,93.39,
715,0,0,93.39,
720,0,0,93.39,
725,0,0,93.39,
730,0,0,93.39,
735,0,0,93.39,
740,0,0,93.39,
745,0,0,93.39,
750,0,0,93.39,
755,0,0,93.39,
760,0,0,93.39,
765,0,0,93.39,
770,0,0,93.39,
775,0,0,93.39,
780,0,0,93.39,
785,0,0,93.39,
790,0,0,93.39,
795,0,0,93.39,
800,0,0,93.39,
