episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.8,
210,0,306,93.14,
215,0,298,94.95,
220,0,328,93.19,
225,0,312,93.67,
230,0,310,91.33999999999999,
235,0,301,92.27,
240,0,301,93.34,
245,0,313,93.10000000000001,
250,0,314,93.7,
255,0,304,94.39,
260,0,295,91.77,
265,0,318,93.9,
270,0,291,92.75,
275,0,301,91.63,
280,0,295,91.67999999999999,
285,0,303,94.10000000000001,
290,0,291,93.57,
295,0,294,93.54,
300,0,300,90.62,
305,0,294,93.55999999999999,
310,0,298,94.75,
315,0,295,93.42,
320,0,300,94.03999999999999,
325,0,286,94.03999999999999,
330,0,284,92.68,
335,0,293,92.17,
340,0,283,92.1,
345,0,265,92.78999999999999,
350,0,264,92.36999999999999,
355,0,263,92.35,
360,0,268,92.33,
365,0,266,92.69,
370,0,253,94.21,
375,0,248,91.64999999999999,
380,0,262,91.81,
385,0,268,92.95,
390,0,264,93.72,
395,0,258,93.36999999999999,
400,0,234,93.02000000000001,
405,0,247,94.41,
410,0,258,94.24000000000001,
415,0,256,91.47,
420,0,255,95.22,
425,0,258,94.98,
430,0,256,92.77000000000001,
435,0,251,94.01,
440,0,245,93.13999999999999,
445,0,253,93.84,
450,0,260,90.66999999999999,
455,0,252,92.77,
460,0,243,95.37,
465,0,256,92.30999999999999,
470,0,253,93.10000000000001,
475,0,251,92.8,
480,0,257,93.08,
485,0,225,93.1,
490,0,243,92.25,
495,0,240,95.17,
500,0,231,93.72,
505,0,245,93.10000000000001,
510,0,228,94.57000000000001,
515,0,224,92.80000000000001,
520,0,229,92.97999999999999,
525,0,239,93.81,
530,0,228,92.5,
535,0,228,95.13,
540,0,216,93.80999999999999,
545,0,214,92.45,
550,0,221,92.94,
555,0,226,92.43,
560,0,223,91.67999999999999,
565,0,207,92.56,
570,0,208,91.65,
575,0,214,91.24,
580,0,202,93.7,
585,0,222,92.2,
590,0,214,92.19,
595,0,208,91.26,
600,0,209,93.12,
605,0,212,92.63,
610,0,203,92.64999999999999,
615,0,204,90.97,
620,0,221,91.14999999999999,
625,0,211,94.45,
630,0,217,93.92,
635,0,193,93.69999999999999,
640,0,203,92.72,
645,0,182,95.17,
650,0,187,94.1,
655,0,187,92.34,
660,0,189,94.31,
665,0,205,93.06,
670,0,191,91.21000000000001,
675,0,194,93.13,
680,0,185,91.85000000000001,
685,0,182,91.69,
690,0,185,92.76,
695,0,179,91.36999999999999,
700,0,202,92.45,
705,0,162,94.07,
710,0,0,94.07,
715,0,0,94.07,
720,0,0,94.07,
725,0,0,94.07,
730,0,0,94.07,
735,0,0,94.07,
740,0,0,94.07,
745,0,0,94.07,
750,0,0,94.07,
755,0,0,94.07,
760,0,0,94.07,
765,0,0,94.07,
770,0,0,94.07,
775,0,0,94.07,
780,0,0,94.07,
785,0,0,94.07,
790,0,0,94.07,
795,0,0,94.07,
800,0,0,94.07,
