episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,116.84,
210,0,305,92.24,
215,0,317,93.02000000000001,
220,0,305,92.38000000000001,
225,0,313,94.64,
230,0,314,93.0,
235,0,307,93.03,
240,0,320,94.51,
245,0,314,91.57000000000001,
250,0,316,93.67,
255,0,318,92.02000000000001,
260,0,308,92.27000000000001,
265,0,300,93.27000000000001,
270,0,298,92.32000000000001,
275,0,311,91.78,
280,0,310,93.58999999999999,
285,0,298,93.6,
290,0,282,95.39,
295,0,292,93.05000000000001,
300,0,304,91.98,
305,0,302,91.94999999999999,
310,0,299,91.4,
315,0,277,91.71,
320,0,290,92.48,
325,0,285,94.26,
330,0,303,93.89,
335,0,271,93.92,
340,0,267,93.06,
345,0,257,95.03,
350,0,277,92.82000000000001,
355,0,273,92.89999999999999,
360,0,269,91.34,
365,0,271,92.62,
370,0,259,93.68,
375,0,253,90.96,
380,0,250,92.8,
385,0,246,94.35,
390,0,239,91.78999999999999,
395,0,214,93.0,
400,0,235,93.36,
405,0,212,93.25,
410,0,210,93.48,
415,0,225,93.8,
420,0,221,92.86,
425,0,214,91.06,
430,0,213,91.94,
435,0,220,92.36,
440,0,225,91.34,
445,0,211,92.35,
450,0,204,92.55,
455,0,222,92.26,
460,0,205,92.78999999999999,
465,0,196,93.3,
470,0,196,91.58,
475,0,215,93.25,
480,0,204,93.13,
485,0,182,92.68,
490,0,185,93.11,
495,0,195,91.28,
500,0,194,91.35,
505,0,187,91.75,
510,0,182,95.97999999999999,
515,0,196,92.43,
520,0,196,91.88000000000001,
525,0,182,93.64999999999999,
530,0,187,93.14,
535,0,180,92.66,
540,0,192,91.22999999999999,
545,0,183,92.98,
550,0,181,92.82000000000001,
555,0,185,91.53999999999999,
560,0,178,92.10000000000001,
565,0,176,92.28999999999999,
570,0,177,93.28,
575,0,174,92.01,
580,0,176,93.87,
585,0,189,93.75,
590,0,153,93.14,
595,0,153,93.23,
600,0,168,93.03,
605,0,161,91.30000000000001,
610,0,152,93.92,
615,0,157,92.2,
620,0,159,89.5,
625,0,171,93.11,
630,0,165,92.06,
635,0,155,92.55,
640,0,168,93.28,
645,0,161,91.92,
650,0,162,93.07000000000001,
655,0,160,93.78,
660,0,159,92.83,
665,0,162,90.89,
670,0,164,93.11,
675,0,162,92.05,
680,0,148,92.36999999999999,
685,0,144,91.37,
690,0,133,91.44,
695,0,145,91.78999999999999,
700,0,152,92.82,
705,0,100,93.46,
710,0,0,93.46,
715,0,0,93.46,
720,0,0,93.46,
725,0,0,93.46,
730,0,0,93.46,
735,0,0,93.46,
740,0,0,93.46,
745,0,0,93.46,
750,0,0,93.46,
755,0,0,93.46,
760,0,0,93.46,
765,0,0,93.46,
770,0,0,93.46,
775,0,0,93.46,
780,0,0,93.46,
785,0,0,93.46,
790,0,0,93.46,
795,0,0,93.46,
800,0,0,93.46,
