episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,94.42,
210,0,304,92.41,
215,0,319,93.14999999999999,
220,0,301,92.67,
225,0,312,93.75,
230,0,315,93.73,
235,0,309,93.49,
240,0,311,94.66000000000001,
245,0,318,91.96000000000001,
250,0,317,93.2,
255,0,324,93.94,
260,0,313,91.0,
265,0,311,93.6,
270,0,307,92.56,
275,0,316,93.46,
280,0,314,92.62,
285,0,307,94.87,
290,0,301,92.96000000000001,
295,0,302,91.55,
300,0,307,93.21,
305,0,321,92.42999999999999,
310,0,309,93.12,
315,0,297,92.05,
320,0,305,92.82000000000001,
325,0,319,93.06,
330,0,327,92.59,
335,0,309,93.0,
340,0,307,93.78999999999999,
345,0,308,93.78,
350,0,322,93.44,
355,0,309,92.31,
360,0,297,92.69,
365,0,317,93.4,
370,0,320,93.51,
375,0,309,92.28999999999999,
380,0,304,94.31,
385,0,311,93.51,
390,0,310,92.87,
395,0,299,92.86,
400,0,318,94.01,
405,0,309,92.33,
410,0,303,93.91,
415,0,317,93.34,
420,0,306,92.38000000000001,
425,0,321,91.7,
430,0,308,91.93,
435,0,308,94.36,
440,0,327,91.66,
445,0,302,93.94,
450,0,306,91.82,
455,0,322,93.14999999999999,
460,0,291,94.4,
465,0,308,92.80999999999999,
470,0,308,93.77,
475,0,318,93.64,
480,0,306,92.67999999999999,
485,0,309,92.82,
490,0,309,94.35000000000001,
495,0,317,94.05000000000001,
500,0,301,92.07000000000001,
505,0,302,93.1,
510,0,314,93.31,
515,0,305,92.88,
520,0,305,92.09,
525,0,312,92.71000000000001,
530,0,315,91.75999999999999,
535,0,295,91.58,
540,0,307,91.78,
545,0,320,92.82,
550,0,298,93.57000000000001,
555,0,302,93.37,
560,0,314,91.98,
565,0,280,94.22,
570,0,314,92.04,
575,0,312,93.37,
580,0,300,92.67999999999999,
585,0,306,94.3,
590,0,292,92.25999999999999,
595,0,302,94.02000000000001,
600,0,299,92.38000000000001,
605,0,306,93.53999999999999,
610,0,307,93.08999999999999,
615,0,297,92.03,
620,0,285,92.86,
625,0,305,91.42999999999999,
630,0,300,91.05,
635,0,281,93.14,
640,0,291,93.08,
645,0,287,93.76,
650,0,298,92.93,
655,0,294,95.37,
660,0,290,92.07000000000001,
665,0,305,91.56,
670,0,281,92.78,
675,0,282,92.57000000000001,
680,0,284,94.5,
685,0,289,92.23,
690,0,278,92.23,
695,0,276,91.86,
700,0,278,95.16000000000001,
705,0,233,93.55,
710,0,0,93.55,
715,0,0,93.55,
720,0,0,93.55,
725,0,0,93.55,
730,0,0,93.55,
735,0,0,93.55,
740,0,0,93.55,
745,0,0,93.55,
750,0,0,93.55,
755,0,0,93.55,
760,0,0,93.55,
765,0,0,93.55,
770,0,0,93.55,
775,0,0,93.55,
780,0,0,93.55,
785,0,0,93.55,
790,0,0,93.55,
795,0,0,93.55,
800,0,0,93.55,
