iteration,agent_id,loss,reward,ema_reward,entropy
1,fleet_shared,-0.13860689103603363,-4.860587761674718,-4.860587761674718,1.3860689401626587
2,fleet_shared,60.86534881591797,-4.7487117552334945,-4.8549939613526565,1.3862013816833496
3,fleet_shared,-2.005183696746826,-4.8584138486312405,-4.855164955716585,1.3861680030822754
4,fleet_shared,-1.0110459327697754,-4.856763285024154,-4.855244872181964,1.3861733675003052
5,fleet_shared,40.2110595703125,-4.781239935587762,-4.851544625352254,1.386086106300354
6,fleet_shared,26.366655349731445,-4.80293880837359,-4.84911433450332,1.3861974477767944
7,fleet_shared,-11.549922943115234,-4.8700483091787445,-4.850161033237091,1.3861414194107056
8,fleet_shared,3.8984763622283936,-4.842753623188406,-4.849790662734656,1.3861920833587646
9,fleet_shared,13.673022270202637,-4.824476650563607,-4.8485249621261035,1.3862018585205078
10,fleet_shared,19.488767623901367,-4.8124798711755234,-4.846722707578574,1.386177659034729
11,fleet_shared,30.578109741210938,-4.7903784219001615,-4.843905493294653,1.3861808776855469
12,fleet_shared,-11.702227592468262,-4.865096618357488,-4.8449650495477945,1.3861873149871826
13,fleet_shared,-3.916947603225708,-4.851892109500805,-4.845311402545445,1.3861098289489746
14,fleet_shared,2.0021462440490723,-4.841384863123994,-4.845115075574372,1.3861347436904907
15,fleet_shared,11.900564193725586,-4.823027375201288,-4.844010690555718,1.3860818147659302
16,fleet_shared,16.53704071044922,-4.813446054750402,-4.842482458765453,1.3861000537872314
17,fleet_shared,6.473972320556641,-4.830354267310789,-4.841876049192719,1.386174201965332
18,fleet_shared,-24.076725006103516,-4.885748792270532,-4.84406968634661,1.3861579895019531
19,fleet_shared,8.569612503051758,-4.828099838969403,-4.843271193977749,1.3861621618270874
20,fleet_shared,8.42072868347168,-4.827576489533011,-4.842486458755512,1.3861048221588135
21,fleet_shared,37.14562225341797,-4.774033816425121,-4.839063826638992,1.3861432075500488
22,fleet_shared,-13.600208282470703,-4.863727858293076,-4.840297028221696,1.3861216306686401
23,fleet_shared,-16.218868255615234,-4.869766505636071,-4.841770502092414,1.386073350906372
24,fleet_shared,-9.12551498413086,-4.858252818035426,-4.8425946178895645,1.3861312866210938
