episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.55,
210,0,304,92.60000000000001,
215,0,297,93.88000000000001,
220,0,328,92.61,
225,0,312,92.97,
230,0,310,90.80999999999999,
235,0,303,92.17999999999999,
240,0,311,93.25,
245,0,315,91.97,
250,0,316,95.48,
255,0,307,94.1,
260,0,306,91.07,
265,0,324,93.92,
270,0,298,92.87,
275,0,302,94.10000000000001,
280,0,310,93.16,
285,0,316,93.85000000000001,
290,0,304,92.69,
295,0,306,92.74,
300,0,305,91.2,
305,0,315,92.07,
310,0,308,94.08999999999999,
315,0,300,91.78,
320,0,309,93.60000000000001,
325,0,300,94.67,
330,0,317,94.72,
335,0,319,93.45,
340,0,304,92.72,
345,0,309,92.42,
350,0,323,94.06,
355,0,310,94.57,
360,0,321,92.01,
365,0,315,92.38,
370,0,290,93.65,
375,0,318,90.61999999999999,
380,0,302,92.54,
385,0,313,93.54,
390,0,307,92.41,
395,0,305,91.94,
400,0,290,93.69,
405,0,309,92.7,
410,0,312,93.69,
415,0,306,93.13,
420,0,324,94.36999999999999,
425,0,303,91.86,
430,0,316,92.6,
435,0,303,94.12,
440,0,315,92.15,
445,0,315,93.8,
450,0,308,92.49000000000001,
455,0,296,90.11,
460,0,296,94.44,
465,0,305,93.88,
470,0,297,90.71,
475,0,299,92.71000000000001,
480,0,321,93.24,
485,0,301,91.91,
490,0,314,94.24,
495,0,294,94.57,
500,0,305,92.55000000000001,
505,0,312,93.92,
510,0,309,93.24,
515,0,296,93.09,
520,0,308,92.75,
525,0,311,93.37,
530,0,306,93.45,
535,0,287,93.08,
540,0,304,92.73,
545,0,287,92.28,
550,0,300,91.08,
555,0,308,93.2,
560,0,303,92.02,
565,0,309,93.13,
570,0,314,92.1,
575,0,311,91.72,
580,0,296,92.28,
585,0,305,92.88,
590,0,303,93.85,
595,0,296,92.14999999999999,
600,0,306,92.3,
605,0,305,92.67999999999999,
610,0,307,93.1,
615,0,303,92.28,
620,0,313,90.74,
625,0,308,93.56,
630,0,310,92.43,
635,0,293,93.91999999999999,
640,0,300,91.36,
645,0,293,93.83999999999999,
650,0,287,93.73,
655,0,307,93.47999999999999,
660,0,294,95.84,
665,0,296,94.55,
670,0,288,92.07000000000001,
675,0,285,91.94999999999999,
680,0,283,94.25999999999999,
685,0,294,93.09,
690,0,298,93.43,
695,0,284,91.23,
700,0,305,92.13999999999999,
705,0,266,94.52,
710,0,0,94.52,
715,0,0,94.52,
720,0,0,94.52,
725,0,0,94.52,
730,0,0,94.52,
735,0,3,93.92,
740,0,0,93.92,
745,0,0,93.92,
750,0,0,93.92,
755,0,0,93.92,
760,0,10,94.58,
765,0,0,94.58,
770,0,0,94.58,
775,0,0,94.58,
780,0,0,94.58,
785,0,0,94.58,
790,0,0,94.58,
795,0,0,94.58,
800,0,0,94.58,
