iteration,agent_id,loss,reward,ema_reward,entropy
1,fleet_shared,-0.06930666416883469,-4.809219001610306,-4.809219001610306,1.3861331939697266
2,fleet_shared,-10.731705665588379,-4.8287842190016095,-4.810197262479871,1.3861994743347168
3,fleet_shared,-72.3375015258789,-4.9427536231884055,-4.816825080515297,1.3862180709838867
4,fleet_shared,-78.7474365234375,-4.961070853462157,-4.82403736916264,1.3862061500549316
5,fleet_shared,-48.48566818237305,-4.912842190016104,-4.828477610205312,1.38619065284729
6,fleet_shared,3.18866229057312,-4.8225040257648955,-4.828178930983292,1.3861688375473022
7,fleet_shared,-49.5964469909668,-4.918961352657004,-4.832718052066976,1.3861513137817383
8,fleet_shared,-27.450462341308594,-4.882890499194847,-4.83522667442337,1.3861260414123535
9,fleet_shared,1.0497047901153564,-4.83317230273752,-4.8351239558390775,1.3860785961151123
10,fleet_shared,-18.272056579589844,-4.868518518518519,-4.836793683973049,1.3860348463058472
11,fleet_shared,-59.62773895263672,-4.946215780998389,-4.842264788824315,1.385994553565979
12,fleet_shared,-16.580785751342773,-4.872544283413848,-4.843778763553792,1.3859585523605347
13,fleet_shared,-48.46377944946289,-4.932568438003221,-4.848218247276264,1.3859539031982422
14,fleet_shared,-35.00960159301758,-4.912238325281804,-4.851419251176541,1.3859102725982666
15,fleet_shared,-32.832096099853516,-4.911513687600644,-4.854423972997746,1.38587486743927
16,fleet_shared,-36.330326080322266,-4.920893719806763,-4.857747460338197,1.3858120441436768
17,fleet_shared,21.935209274291992,-4.817391304347826,-4.8557296525386775,1.3857587575912476
18,fleet_shared,-11.36555004119873,-4.876449275362319,-4.85676563367986,1.385703682899475
19,fleet_shared,-39.04807662963867,-4.92818035426731,-4.860336369709232,1.385641098022461
20,fleet_shared,13.283374786376953,-4.835829307568438,-4.859111016602193,1.3855682611465454
21,fleet_shared,-9.438493728637695,-4.876328502415459,-4.859971890892856,1.3854774236679077
22,fleet_shared,-2.4220211505889893,-4.864291465378422,-4.860187869617135,1.3853977918624878
23,fleet_shared,-17.538013458251953,-4.892230273752013,-4.861789989823879,1.3853412866592407
24,fleet_shared,18.25481605529785,-4.828180354267311,-4.86010950804605,1.3852694034576416
25,fleet_shared,2.0534543991088867,-4.856199677938808,-4.859914016540688,1.3851786851882935
26,fleet_shared,-12.668975830078125,-4.88305152979066,-4.861070892203187,1.3851107358932495
27,fleet_shared,-37.942779541015625,-4.930515297906603,-4.864543112488358,1.3850613832473755
28,fleet_shared,7.607178211212158,-4.850442834138486,-4.863838098570864,1.384971022605896
29,fleet_shared,3.723942995071411,-4.856884057971015,-4.863490396540872,1.3848661184310913
30,fleet_shared,-32.60239028930664,-4.923148148148148,-4.866473284121236,1.3847949504852295
31,fleet_shared,21.666088104248047,-4.826529790660226,-4.864476109448185,1.3846876621246338
32,fleet_shared,-52.5848274230957,-4.960829307568439,-4.869293769354198,1.3846094608306885
33,fleet_shared,18.343067169189453,-4.835426731078905,-4.867600417440434,1.3844860792160034
34,fleet_shared,-17.512454986572266,-4.899597423510468,-4.869200267743936,1.3843568563461304
35,fleet_shared,-2.198673725128174,-4.8731078904991945,-4.8693956488816985,1.3842289447784424
36,fleet_shared,20.635149002075195,-4.831199677938808,-4.867485850334554,1.3840776681900024
37,fleet_shared,49.28865432739258,-4.776690821256039,-4.862946098880629,1.3839237689971924
38,fleet_shared,-2.333381414413452,-4.867109500805154,-4.863154268976856,1.3837097883224487
39,fleet_shared,12.852686882019043,-4.8394122383252824,-4.861967167444277,1.383595585823059
40,fleet_shared,-55.571990966796875,-4.963164251207729,-4.867027021632449,1.3833991289138794
41,fleet_shared,-1.69269597530365,-4.8700080515297905,-4.8671760731273155,1.3830903768539429
42,fleet_shared,11.376092910766602,-4.84609500805153,-4.866122019873526,1.3827235698699951
43,fleet_shared,-2.1864614486694336,-4.8700080515297905,-4.866316321456339,1.3823906183242798
44,fleet_shared,4.026049613952637,-4.858816425120773,-4.865941326639561,1.382038950920105
45,fleet_shared,46.954769134521484,-4.778945249597423,-4.861591522787454,1.3816932439804077
46,fleet_shared,-14.24472427368164,-4.887721417069244,-4.862898017501544,1.3812435865402222
47,fleet_shared,23.58196449279785,-4.819243156199678,-4.86071527443645,1.380836844444275
48,fleet_shared,1.2225083112716675,-4.858333333333333,-4.860596177381295,1.3803696632385254
49,fleet_shared,36.06517028808594,-4.794122383252818,-4.85727248767487,1.3799614906311035
50,fleet_shared,20.436010360717773,-4.819484702093399,-4.855383098395796,1.3795734643936157
51,fleet_shared,-6.524320125579834,-4.867270531400966,-4.855977470046055,1.3792837858200073
52,fleet_shared,-3.9845316410064697,-4.8631642512077295,-4.856336809104138,1.378973364830017
53,fleet_shared,8.441313743591309,-4.840579710144928,-4.855548954156177,1.37859046459198
54,fleet_shared,-2.1385583877563477,-4.859380032206119,-4.855740508058674,1.3783595561981201
55,fleet_shared,19.687639236450195,-4.819243156199677,-4.853915640465724,1.3780357837677002
56,fleet_shared,-6.352935791015625,-4.865458937198068,-4.854492805302341,1.3777862787246704
57,fleet_shared,-26.829341888427734,-4.90354267310789,-4.856945298692618,1.3775584697723389
58,fleet_shared,-21.97248077392578,-4.8974637681159425,-4.858971222163784,1.3771754503250122
59,fleet_shared,-22.29755210876465,-4.899959742351046,-4.861020648173147,1.3768227100372314
60,fleet_shared,3.7311620712280273,-4.85402576489533,-4.860670904009256,1.3765788078308105
61,fleet_shared,23.660236358642578,-4.81658615136876,-4.858466666377231,1.3764406442642212
62,fleet_shared,36.55738067626953,-4.790418679549114,-4.855064267035825,1.3759970664978027
63,fleet_shared,-8.908333778381348,-4.871376811594202,-4.855879894263744,1.3755896091461182
64,fleet_shared,-11.64806842803955,-4.877093397745572,-4.856940569437835,1.3749245405197144
65,fleet_shared,-2.558830976486206,-4.8615136876006435,-4.8571692253459755,1.374395489692688
66,fleet_shared,10.075490951538086,-4.8383655394524965,-4.856229041051301,1.3738291263580322
67,fleet_shared,47.254878997802734,-4.767995169082126,-4.851817347452842,1.3734288215637207
68,fleet_shared,44.31433868408203,-4.768961352657005,-4.8476745477130505,1.3727232217788696
69,fleet_shared,6.190882205963135,-4.8361916264090175,-4.847100401647849,1.3715415000915527
70,fleet_shared,16.12928581237793,-4.8172705314009665,-4.845608908135505,1.3706722259521484
71,fleet_shared,-8.445638656616211,-4.861111111111111,-4.846384018284285,1.3699299097061157
72,fleet_shared,20.557523727416992,-4.80841384863124,-4.844485509801633,1.369125485420227
73,fleet_shared,26.08863639831543,-4.79633655394525,-4.842078062008813,1.368643045425415
74,fleet_shared,21.444509506225586,-4.801851851851852,-4.840066751500965,1.3685439825057983
75,fleet_shared,21.412256240844727,-4.80012077294686,-4.83806945257326,1.3682911396026611
76,fleet_shared,17.863679885864258,-4.804790660225443,-4.836405512955869,1.3679043054580688
77,fleet_shared,4.770561218261719,-4.827415458937198,-4.835956010254935,1.3676071166992188
78,fleet_shared,-6.298943519592285,-4.847463768115943,-4.836531398147986,1.3674298524856567
79,fleet_shared,16.466218948364258,-4.805756843800323,-4.834992670430602,1.3668681383132935
80,fleet_shared,29.902734756469727,-4.779106280193237,-4.832198350918734,1.366944432258606
81,fleet_shared,10.030689239501953,-4.813365539452496,-4.831256710345422,1.366296648979187
82,fleet_shared,11.38620662689209,-4.810144927536231,-4.830201121204962,1.3661681413650513
83,fleet_shared,23.347335815429688,-4.7866747181964575,-4.8280248010545375,1.3659623861312866
84,fleet_shared,19.0085506439209,-4.792673107890499,-4.8262572163963355,1.365786075592041
85,fleet_shared,3.167266607284546,-4.820249597423511,-4.825956835447694,1.3658639192581177
86,fleet_shared,25.248977661132812,-4.778260869565217,-4.82357203715357,1.3657474517822266
87,fleet_shared,8.322550773620605,-4.807890499194847,-4.822787960255634,1.3654000759124756
88,fleet_shared,12.190908432006836,-4.799557165861514,-4.821626420535927,1.3648200035095215
89,fleet_shared,32.952537536621094,-4.759903381642512,-4.818540268591256,1.3641642332077026
90,fleet_shared,10.19174575805664,-4.799355877616747,-4.817581049042531,1.3636597394943237
91,fleet_shared,-2.115386486053467,-4.821376811594203,-4.817770837170114,1.3630198240280151
92,fleet_shared,11.552423477172852,-4.79621578099839,-4.816693084361528,1.362585425376892
93,fleet_shared,8.888630867004395,-4.80012077294686,-4.815864468790795,1.3619619607925415
94,fleet_shared,6.937200546264648,-4.802697262479871,-4.815206108475249,1.3617814779281616
95,fleet_shared,13.24993896484375,-4.790297906602254,-4.8139606983815995,1.3617693185806274
96,fleet_shared,5.6232686042785645,-4.803301127214171,-4.813427719823228,1.3611401319503784
97,fleet_shared,-23.332530975341797,-4.856521739130435,-4.815582420788588,1.360595941543579
98,fleet_shared,3.7201690673828125,-4.808534621578101,-4.815230030828063,1.3600947856903076
99,fleet_shared,2.4847941398620605,-4.810466988727859,-4.8149918787230535,1.3597750663757324
100,fleet_shared,1.8157877922058105,-4.811473429951691,-4.814815956284485,1.359483242034912
101,fleet_shared,7.871417999267578,-4.799959742351047,-4.8140731455878125,1.3590736389160156
102,fleet_shared,29.491455078125,-4.757407407407407,-4.811239858678792,1.3586679697036743
103,fleet_shared,-2.0214152336120605,-4.814855072463769,-4.81142061936804,1.3576257228851318
104,fleet_shared,10.794744491577148,-4.790982286634461,-4.810398702731361,1.3560038805007935
105,fleet_shared,14.418584823608398,-4.783373590982286,-4.809047447143907,1.3551207780838013
106,fleet_shared,33.86652755737305,-4.74537037037037,-4.80586359330523,1.3543115854263306
107,fleet_shared,17.522445678710938,-4.772181964573269,-4.804179511868632,1.353049874305725
108,fleet_shared,7.764864921569824,-4.789653784219002,-4.803453225486151,1.35226571559906
109,fleet_shared,28.35541534423828,-4.749275362318841,-4.800744332327786,1.3515645265579224
110,fleet_shared,36.570613861083984,-4.7312399355877615,-4.797269112490784,1.34989333152771
111,fleet_shared,9.014381408691406,-4.7797906602254425,-4.796395189877517,1.3481587171554565
112,fleet_shared,-2.201589822769165,-4.8004025764895335,-4.796595559208117,1.3462494611740112
113,fleet_shared,27.036020278930664,-4.74573268921095,-4.794052415708259,1.3443547487258911
114,fleet_shared,16.30373764038086,-4.762842190016103,-4.792491904423651,1.3430136442184448
