episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.78,
210,0,305,92.60000000000001,
215,0,298,94.08999999999999,
220,0,329,91.7,
225,0,313,92.62,
230,0,312,91.47,
235,0,302,92.21000000000001,
240,0,310,92.97999999999999,
245,0,314,93.94,
250,0,319,94.43,
255,0,309,94.32000000000001,
260,0,302,92.13,
265,0,325,94.25,
270,0,293,94.11,
275,0,306,92.11,
280,0,302,91.58,
285,0,312,92.71,
290,0,300,92.75,
295,0,304,91.88,
300,0,308,91.64,
305,0,300,93.23,
310,0,297,94.71000000000001,
315,0,295,93.50999999999999,
320,0,304,93.86999999999999,
325,0,292,94.08,
330,0,303,92.89999999999999,
335,0,306,92.83999999999999,
340,0,292,91.57,
345,0,280,91.77,
350,0,282,94.14999999999999,
355,0,280,93.42999999999999,
360,0,281,90.84,
365,0,279,93.17,
370,0,256,93.13000000000001,
375,0,262,92.14,
380,0,273,91.60000000000001,
385,0,279,92.16,
390,0,273,92.31,
395,0,276,91.55999999999999,
400,0,258,93.39999999999999,
405,0,268,92.7,
410,0,276,93.22999999999999,
415,0,260,92.92,
420,0,270,95.28,
425,0,256,93.99000000000001,
430,0,252,91.72,
435,0,247,91.82000000000001,
440,0,253,93.16,
445,0,249,92.61999999999999,
450,0,231,92.33,
455,0,236,92.5,
460,0,231,95.17999999999999,
465,0,250,91.66,
470,0,240,91.96000000000001,
475,0,242,91.94,
480,0,253,93.63,
485,0,231,92.03,
490,0,250,92.45,
495,0,241,94.75,
500,0,235,93.92,
505,0,247,92.95,
510,0,224,93.66,
515,0,221,91.82,
520,0,228,94.11,
525,0,236,93.32,
530,0,227,92.89,
535,0,226,93.84,
540,0,223,93.25,
545,0,222,90.07,
550,0,214,92.00999999999999,
555,0,221,92.83,
560,0,219,91.74,
565,0,213,91.77999999999999,
570,0,219,91.52000000000001,
575,0,225,92.62,
580,0,205,93.52,
585,0,221,91.46,
590,0,216,91.68,
595,0,206,91.74,
600,0,211,92.52,
605,0,207,92.7,
610,0,210,92.77999999999999,
615,0,196,92.11,
620,0,219,92.19999999999999,
625,0,205,94.28,
630,0,212,92.11999999999999,
635,0,202,92.35,
640,0,196,90.75999999999999,
645,0,173,94.42,
650,0,180,91.73,
655,0,180,92.66,
660,0,181,96.14999999999999,
665,0,196,93.25999999999999,
670,0,180,92.42,
675,0,183,90.22,
680,0,169,91.84,
685,0,171,91.93,
690,0,167,92.64,
695,0,172,91.64999999999999,
700,0,175,92.91000000000001,
705,0,142,93.68,
710,0,0,93.68,
715,0,0,93.68,
720,0,0,93.68,
725,0,0,93.68,
730,0,0,93.68,
735,0,0,93.68,
740,0,0,93.68,
745,0,0,93.68,
750,0,0,93.68,
755,0,0,93.68,
760,0,0,93.68,
765,0,0,93.68,
770,0,0,93.68,
775,0,0,93.68,
780,0,0,93.68,
785,0,0,93.68,
790,0,0,93.68,
795,0,0,93.68,
800,0,0,93.68,
